No,Inlinks #,Document,Anchor texts
1,123,en/articles/b/r/a/Brazil.html,"Brazil,BRA,Brazilian"
2,44,en/articles/a/u/g/August_26.html,"08-26,26,August 26,26 August"
3,17,en/articles/m/a/n/Manga.html,"manga,Manga"
4,14,en/articles/m/a/g/Magazine.html,"magazine,magazines,Magazine"
5,12,en/articles/m/o/l/Mollusca.html,"Mollusca"
6,11,en/articles/v/i/c/Victoria_of_the_United_Kingdom_5e8e.html,"Victoria,Queen,Victoria of the United Kingdom,Queen Victoria"
7,8,en/articles/s/c/r/Screenwriter.html,"Writer(s),screenwriter,Screenwriter"
8,7,en/articles/t/u/s/Tuscany.html,"Tuscany"
9,6,en/articles/k/i/d/Kidney.html,"kidneys,Renal,kidney"
10,6,en/articles/t/o/t/Tottenham_Hotspur_F.C._6bd2.html,"Tottenham Hotspur,Tottenham"
